"","Exp","WMSize","NSub","m_WMCrr","n","se_WMCrr"
"1","Exp. 1","low",1,0.915966386554622,119,0.0256482513440681
"2","Exp. 1","low",2,0.925,120,0.0242462824306782
"3","Exp. 1","low",3,0.883333333333333,120,0.0295514888401186
"4","Exp. 1","low",4,0.866666666666667,120,0.031292414663908
"5","Exp. 1","low",5,0.958333333333333,120,0.0183948536926662
"6","Exp. 1","low",6,0.875,120,0.0304440687945156
"7","Exp. 1","low",7,0.958333333333333,120,0.0183948536926662
"8","Exp. 1","low",8,0.829059829059829,117,0.0351034615934665
"9","Exp. 1","low",9,0.925,120,0.0242462824306782
"10","Exp. 1","low",10,0.95,120,0.020062750229098
"11","Exp. 1","low",11,0.891666666666667,120,0.0286105351086856
"12","Exp. 1","low",12,0.941666666666667,120,0.0215749926945751
"13","Exp. 1","low",13,0.92436974789916,119,0.0244434278335797
"14","Exp. 1","low",14,0.908333333333333,120,0.0265626871416717
"15","Exp. 1","low",15,0.958333333333333,120,0.0183948536926662
"16","Exp. 1","low",16,0.933333333333333,120,0.0229623546576125
"17","Exp. 1","medium",1,0.758333333333333,120,0.0394077927677865
"18","Exp. 1","medium",2,0.783333333333333,120,0.0379239020640365
"19","Exp. 1","medium",3,0.716666666666667,120,0.0414811797723995
"20","Exp. 1","medium",4,0.725,120,0.0411035196685566
"21","Exp. 1","medium",5,0.833333333333333,120,0.0343065790305767
"22","Exp. 1","medium",6,0.796610169491525,118,0.0373716852292954
"23","Exp. 1","medium",7,0.9,120,0.0276162634036218
"24","Exp. 1","medium",8,0.743589743589744,117,0.0407163963740285
"25","Exp. 1","medium",9,0.808333333333333,120,0.0362336596607828
"26","Exp. 1","medium",10,0.825,120,0.0349775720811217
"27","Exp. 1","medium",11,0.808333333333333,120,0.0362336596607828
"28","Exp. 1","medium",12,0.891666666666667,120,0.0286105351086856
"29","Exp. 1","medium",13,0.766666666666667,120,0.0389345666193704
"30","Exp. 1","medium",14,0.8,120,0.0368216845381624
"31","Exp. 1","medium",15,0.80672268907563,119,0.0365043018175645
"32","Exp. 1","medium",16,0.825,120,0.0349775720811217
"33","Exp. 1","high",1,0.73109243697479,119,0.0409901141233534
"34","Exp. 1","high",2,0.666666666666667,120,0.0433947713860775
"35","Exp. 1","high",3,0.65,120,0.0439070604289517
"36","Exp. 1","high",4,0.616666666666667,120,0.0447566107168272
"37","Exp. 1","high",5,0.766666666666667,120,0.0389345666193704
"38","Exp. 1","high",6,0.798319327731092,119,0.0370947061825546
"39","Exp. 1","high",7,0.808333333333333,120,0.0362336596607828
"40","Exp. 1","high",8,0.615384615384615,117,0.0453650699641567
"41","Exp. 1","high",9,0.683333333333333,120,0.0428214274204997
"42","Exp. 1","high",10,0.766666666666667,120,0.0389345666193704
"43","Exp. 1","high",11,0.675,120,0.0431158774197153
"44","Exp. 1","high",12,0.875,120,0.0304440687945156
"45","Exp. 1","high",13,0.658333333333333,120,0.0436584074407572
"46","Exp. 1","high",14,0.675,120,0.0431158774197153
"47","Exp. 1","high",15,0.708333333333333,120,0.0418413704377862
"48","Exp. 1","high",16,0.75,120,0.0398606427752317
"49","Exp. 2","low",1,0.908333333333333,120,0.0265626871416717
"50","Exp. 2","low",2,0.932773109243697,119,0.0231499999751033
"51","Exp. 2","low",3,0.883333333333333,120,0.0295514888401186
"52","Exp. 2","low",4,0.816666666666667,120,0.0356194159305587
"53","Exp. 2","low",5,0.903508771929825,114,0.0278987076394153
"54","Exp. 2","low",6,0.883333333333333,120,0.0295514888401186
"55","Exp. 2","low",7,0.915966386554622,119,0.0256482513440681
"56","Exp. 2","low",8,0.933333333333333,120,0.0229623546576125
"57","Exp. 2","low",9,0.88135593220339,118,0.0300229817382098
"58","Exp. 2","low",10,0.925,120,0.0242462824306782
"59","Exp. 2","low",11,0.916666666666667,120,0.0254424399503991
"60","Exp. 2","low",12,0.808333333333333,120,0.0362336596607828
"61","Exp. 2","low",13,0.9,120,0.0276162634036218
"62","Exp. 2","low",14,0.882352941176471,119,0.0297853823455427
"63","Exp. 2","low",15,0.95,120,0.020062750229098
"64","Exp. 2","low",16,0.941666666666667,120,0.0215749926945751
"65","Exp. 2","medium",1,0.808333333333333,120,0.0362336596607828
"66","Exp. 2","medium",2,0.666666666666667,120,0.0433947713860775
"67","Exp. 2","medium",3,0.663865546218487,119,0.0436704888339608
"68","Exp. 2","medium",4,0.725,120,0.0411035196685566
"69","Exp. 2","medium",5,0.663793103448276,116,0.0442436380863284
"70","Exp. 2","medium",6,0.683333333333333,120,0.0428214274204997
"71","Exp. 2","medium",7,0.658333333333333,120,0.0436584074407572
"72","Exp. 2","medium",8,0.775,120,0.0384402118033031
"73","Exp. 2","medium",9,0.815126050420168,119,0.0358873772091326
"74","Exp. 2","medium",10,0.783333333333333,120,0.0379239020640365
"75","Exp. 2","medium",11,0.691666666666667,120,0.0425110981465022
"76","Exp. 2","medium",12,0.508333333333333,120,0.0460207125751414
"77","Exp. 2","medium",13,0.716666666666667,120,0.0414811797723995
"78","Exp. 2","medium",14,0.708333333333333,120,0.0418413704377862
"79","Exp. 2","medium",15,0.848739495798319,119,0.0331238989771865
"80","Exp. 2","medium",16,0.875,120,0.0304440687945156
"81","Exp. 2","high",1,0.75,120,0.0398606427752317
"82","Exp. 2","high",2,0.533333333333333,120,0.0459247093152251
"83","Exp. 2","high",3,0.633333333333333,120,0.0443604098483567
"84","Exp. 2","high",4,0.608333333333333,120,0.0449337613747409
"85","Exp. 2","high",5,0.728070175438597,114,0.0420425475416292
"86","Exp. 2","high",6,0.666666666666667,120,0.0433947713860775
"87","Exp. 2","high",7,0.512605042016807,119,0.0462086654947284
"88","Exp. 2","high",8,0.722689075630252,119,0.0413857383349892
"89","Exp. 2","high",9,0.65,120,0.0439070604289517
"90","Exp. 2","high",10,0.708333333333333,120,0.0418413704377862
"91","Exp. 2","high",11,0.697478991596639,119,0.042465359843781
"92","Exp. 2","high",12,0.546218487394958,119,0.0460254528454946
"93","Exp. 2","high",13,0.7,120,0.0421845391529786
"94","Exp. 2","high",14,0.625,120,0.0445655534361269
"95","Exp. 2","high",15,0.775,120,0.0384402118033031
"96","Exp. 2","high",16,0.766666666666667,120,0.0389345666193704
"97","Exp. 3","low",1,0.866666666666667,120,0.031292414663908
"98","Exp. 3","low",2,0.891666666666667,120,0.0286105351086856
